Author,Message,Timestamp
ropf,"Hello/comma/ BDSA students!",1690891760
rnie,"Welcome to the course!",1690978778
rnie,"I hope you had a good summer.",1690979858
ropf,"Cheeping cheeps on Chirp :)",1690981487
lukas,***IntegrationTestStatement***,1695571669
nielsfaber,Hello!!!,1695578274
nielsfaber,Hello!!!,1695578900
nielsfaber,Hello!!!,1695579538
nielsfaber,Hello!!!,1695579557
nielsfaber,Hello!!!,1695582340
nielsfaber,Hello!!!,1695582493
nielsfaber,Hej,1695582967
nielsfaber,Hello!!!,1695582996
